date,mean,unc
1958-03-01,315.7,-0.99
1958-04-01,317.45,-0.99
1958-05-01,317.51,-0.99
1958-06-01,317.24,-0.99
1958-07-01,315.86,-0.99
1958-08-01,314.93,-0.99
1958-09-01,313.2,-0.99
1958-10-01,312.43,-0.99
1958-11-01,313.33,-0.99
1958-12-01,314.67,-0.99
1959-01-01,315.58,-0.99
1959-02-01,316.48,-0.99
1959-03-01,316.65,-0.99
1959-04-01,317.72,-0.99
1959-05-01,318.29,-0.99
1959-06-01,318.15,-0.99
1959-07-01,316.54,-0.99
1959-08-01,314.8,-0.99
1959-09-01,313.84,-0.99
1959-10-01,313.33,-0.99
1959-11-01,314.81,-0.99
1959-12-01,315.58,-0.99
1960-01-01,316.43,-0.99
1960-02-01,316.98,-0.99
1960-03-01,317.58,-0.99
1960-04-01,319.03,-0.99
1960-05-01,320.04,-0.99
1960-06-01,319.59,-0.99
1960-07-01,318.18,-0.99
1960-08-01,315.9,-0.99
1960-09-01,314.17,-0.99
1960-10-01,313.83,-0.99
1960-11-01,315.0,-0.99
1960-12-01,316.19,-0.99
1961-01-01,316.89,-0.99
1961-02-01,317.7,-0.99
1961-03-01,318.54,-0.99
1961-04-01,319.48,-0.99
1961-05-01,320.58,-0.99
1961-06-01,319.77,-0.99
1961-07-01,318.57,-0.99
1961-08-01,316.79,-0.99
1961-09-01,314.99,-0.99
1961-10-01,315.31,-0.99
1961-11-01,316.1,-0.99
1961-12-01,317.01,-0.99
1962-01-01,317.94,-0.99
1962-02-01,318.55,-0.99
1962-03-01,319.68,-0.99
1962-04-01,320.57,-0.99
1962-05-01,321.02,-0.99
1962-06-01,320.62,-0.99
1962-07-01,319.61,-0.99
1962-08-01,317.4,-0.99
1962-09-01,316.25,-0.99
1962-10-01,315.42,-0.99
1962-11-01,316.69,-0.99
1962-12-01,317.7,-0.99
1963-01-01,318.74,-0.99
1963-02-01,319.07,-0.99
1963-03-01,319.86,-0.99
1963-04-01,321.38,-0.99
1963-05-01,322.25,-0.99
1963-06-01,321.48,-0.99
1963-07-01,319.74,-0.99
1963-08-01,317.77,-0.99
1963-09-01,316.21,-0.99
1963-10-01,315.99,-0.99
1963-11-01,317.07,-0.99
1963-12-01,318.35,-0.99
1964-01-01,319.57,-0.99
1964-02-01,320.01,-0.99
1964-03-01,320.74,-0.99
1964-04-01,321.84,-0.99
1964-05-01,322.26,-0.99
1964-06-01,321.89,-0.99
1964-07-01,320.44,-0.99
1964-08-01,318.69,-0.99
1964-09-01,316.7,-0.99
1964-10-01,316.87,-0.99
1964-11-01,317.68,-0.99
1964-12-01,318.71,-0.99
1965-01-01,319.44,-0.99
1965-02-01,320.44,-0.99
1965-03-01,320.89,-0.99
1965-04-01,322.14,-0.99
1965-05-01,322.17,-0.99
1965-06-01,321.87,-0.99
1965-07-01,321.21,-0.99
1965-08-01,318.87,-0.99
1965-09-01,317.81,-0.99
1965-10-01,317.3,-0.99
1965-11-01,318.87,-0.99
1965-12-01,319.42,-0.99
1966-01-01,320.62,-0.99
1966-02-01,321.6,-0.99
1966-03-01,322.39,-0.99
1966-04-01,323.7,-0.99
1966-05-01,324.08,-0.99
1966-06-01,323.75,-0.99
1966-07-01,322.38,-0.99
1966-08-01,320.36,-0.99
1966-09-01,318.64,-0.99
1966-10-01,318.1,-0.99
1966-11-01,319.78,-0.99
1966-12-01,321.03,-0.99
1967-01-01,322.33,-0.99
1967-02-01,322.5,-0.99
1967-03-01,323.04,-0.99
1967-04-01,324.42,-0.99
1967-05-01,325.0,-0.99
1967-06-01,324.09,-0.99
1967-07-01,322.54,-0.99
1967-08-01,320.92,-0.99
1967-09-01,319.25,-0.99
1967-10-01,319.39,-0.99
1967-11-01,320.73,-0.99
1967-12-01,321.96,-0.99
1968-01-01,322.57,-0.99
1968-02-01,323.15,-0.99
1968-03-01,323.89,-0.99
1968-04-01,325.02,-0.99
1968-05-01,325.57,-0.99
1968-06-01,325.36,-0.99
1968-07-01,324.14,-0.99
1968-08-01,322.11,-0.99
1968-09-01,320.33,-0.99
1968-10-01,320.25,-0.99
1968-11-01,321.32,-0.99
1968-12-01,322.89,-0.99
1969-01-01,324.0,-0.99
1969-02-01,324.42,-0.99
1969-03-01,325.63,-0.99
1969-04-01,326.66,-0.99
1969-05-01,327.38,-0.99
1969-06-01,326.71,-0.99
1969-07-01,325.88,-0.99
1969-08-01,323.66,-0.99
1969-09-01,322.38,-0.99
1969-10-01,321.78,-0.99
1969-11-01,322.86,-0.99
1969-12-01,324.12,-0.99
1970-01-01,325.06,-0.99
1970-02-01,325.98,-0.99
1970-03-01,326.93,-0.99
1970-04-01,328.13,-0.99
1970-05-01,328.08,-0.99
1970-06-01,327.67,-0.99
1970-07-01,326.34,-0.99
1970-08-01,324.69,-0.99
1970-09-01,323.1,-0.99
1970-10-01,323.06,-0.99
1970-11-01,324.01,-0.99
1970-12-01,325.13,-0.99
1971-01-01,326.17,-0.99
1971-02-01,326.68,-0.99
1971-03-01,327.17,-0.99
1971-04-01,327.79,-0.99
1971-05-01,328.93,-0.99
1971-06-01,328.57,-0.99
1971-07-01,327.36,-0.99
1971-08-01,325.43,-0.99
1971-09-01,323.36,-0.99
1971-10-01,323.56,-0.99
1971-11-01,324.8,-0.99
1971-12-01,326.01,-0.99
1972-01-01,326.77,-0.99
1972-02-01,327.63,-0.99
1972-03-01,327.75,-0.99
1972-04-01,329.72,-0.99
1972-05-01,330.07,-0.99
1972-06-01,329.09,-0.99
1972-07-01,328.04,-0.99
1972-08-01,326.32,-0.99
1972-09-01,324.84,-0.99
1972-10-01,325.2,-0.99
1972-11-01,326.5,-0.99
1972-12-01,327.55,-0.99
1973-01-01,328.55,-0.99
1973-02-01,329.56,-0.99
1973-03-01,330.3,-0.99
1973-04-01,331.5,-0.99
1973-05-01,332.48,-0.99
1973-06-01,332.07,-0.99
1973-07-01,330.87,-0.99
1973-08-01,329.31,-0.99
1973-09-01,327.51,-0.99
1973-10-01,327.18,-0.99
1973-11-01,328.16,-0.99
1973-12-01,328.64,-0.99
1974-01-01,329.35,-0.99
1974-02-01,330.71,-0.99
1974-03-01,331.48,-0.99
1974-04-01,332.65,-0.99
1974-05-01,333.19,0.16
1974-06-01,332.2,0.14
1974-07-01,331.07,0.09
1974-08-01,329.15,0.12
1974-09-01,327.33,0.19
1974-10-01,327.28,0.09
1974-11-01,328.31,0.16
1974-12-01,329.58,0.1
1975-01-01,330.73,0.15
1975-02-01,331.46,0.17
1975-03-01,331.94,0.15
1975-04-01,333.11,0.24
1975-05-01,333.95,0.13
1975-06-01,333.42,0.18
1975-07-01,331.97,0.18
1975-08-01,329.95,0.18
1975-09-01,328.5,0.22
1975-10-01,328.36,0.12
1975-11-01,329.38,0.14
1975-12-01,330.62,-0.99
1976-01-01,331.56,0.1
1976-02-01,332.74,0.2
1976-03-01,333.36,0.23
1976-04-01,334.74,0.35
1976-05-01,334.72,0.23
1976-06-01,333.98,0.1
1976-07-01,333.08,0.12
1976-08-01,330.68,0.2
1976-09-01,328.96,0.37
1976-10-01,328.72,0.25
1976-11-01,330.16,0.14
1976-12-01,331.62,0.16
1977-01-01,332.68,0.16
1977-02-01,333.17,0.15
